,Population,ViolentCrime,PoliceShootings,State,City
Tulsa Police Department,394498,3827,1,OK,Tulsa
Tuscaloosa Police Department,94126,434,1,AL,Tuscaloosa
Union City Police Department,72480,218,3,CA,Union City
Vacaville Police Department,94347,201,2,CA,Vacaville
Valentine Police Department,2768,8,1,NE,Valentine
Vallejo Police Department,118336,1019,2,CA,Vallejo
Vernal Police Department,10099,33,1,UT,Vernal
Virginia Beach Police Department,450687,730,1,VA,Virginia Beach
Visalia Police Department,127824,500,3,CA,Visalia
Warner Robins Police Department,71614,364,1,GA,Warner Robins
Warr Acres Police Department,10360,54,1,OK,Warr Acres
Warren Police Department,40474,263,1,OH,Warren
Watertown Police Department,33254,53,1,MA,Watertown
Waycross Police Department,14206,64,2,GA,Waycross
Weare Police Department,8901,15,1,NH,Weare
West Columbia Police Department,15715,111,1,SC,West Columbia
West Palm Beach Police Department,102510,701,1,FL,West Palm Beach
Western Berks Regional Police,4561,1,1,PA,Western Berks Regional
Westfield Police Department,41493,103,2,MA,Westfield
Wichita Police Department,386486,3065,2,KS,Wichita
Willard Police Department,1737,2,1,UT,Willard
Willimantic Police Department,17839,33,1,CT,Willimantic
Wilmington Police Department,71460,1161,3,DE,Wilmington
Wilmington Police Department,71460,1161,3,DE,Wilmington
Winfield Police Department,4672,23,1,AL,Winfield
Winter Garden Police Department,37819,178,1,FL,Winter Garden
Woodland Park Police Department,7185,10,1,CO,Woodland Park
Yucaipa Sheriff's Department,52524,107,1,CA,Yucaipa
Yuma Police Department,96014,587,1,AZ,Yuma
