,City,State,Location,Population,ViolentCrime,PoliceViolence
Seattle Police Department,Seattle,WA,"[47.6038321, -122.3300623]",642814,3758,5
Shreveport Police Department,Shreveport,LA,"[32.5221828, -93.7651943]",202189,1397,1
Simi Valley Police Department,Simi Valley,CA,"[34.2694474, -118.7814819]",126215,132,1
Sioux Falls Police Department,Sioux Falls,SD,"[43.5499749, -96.7003269]",161754,636,1
South Bend Police Department,South Bend,IN,"[41.6833813, -86.2500065]",100711,664,1
Spokane Police Department,Spokane,WA,"[47.6588603, -117.4247133]",209524,1440,3
Springfield Police Department,Springfield,IL,,163062,1894,2
Springfield Police Department,Springfield,MA,,163062,1894,2
Springfield Police Department,Springfield,MO,,163062,1894,2
St. Paul Police Department,St. Paul,MN,"[44.9504037, -93.1015025]",294690,2200,2
St. Petersburg Police Department,St. Petersburg,FL,"[27.7703796, -82.6695084]",247084,2379,8
Stamford Police Department,Stamford,CT,"[41.0534302, -73.538734]",125876,334,0
Sterling Heights Police Department,Sterling Heights,MI,"[42.5803122, -83.0302032]",130634,244,0
Stockton Police Department,Stockton,CA,"[37.9577016, -121.2907795]",299796,3622,1
Surprise Police Department,Surprise,AZ,"[33.6292271, -112.3680188]",122497,149,1
Syracuse Police Department,Syracuse,NY,"[43.0481221, -76.1474243]",143834,1192,0
Tacoma Police Department,Tacoma,WA,"[47.2495798, -122.4398745]",203226,1766,0
Tallahassee Police Department,Tallahassee,FL,"[30.4380832, -84.2809331]",188714,1398,0
Tampa Police Department,Tampa,FL,"[27.9477595, -82.4584439]",351314,2097,0
Tempe Police Department,Tempe,AZ,"[33.4144139, -111.9094473]",168501,831,1
Thornton Police Department,Thornton,CO,"[39.9174732, -104.905461007313]",125775,331,2
Topeka Police Department,Topeka,KS,"[39.0490111, -95.6775556]",128009,612,1
Torrance Police Department,Torrance,CA,"[33.8358492, -118.3406287]",147534,187,1
Tucson Police Department,Tucson,AZ,"[32.2217422, -110.9264758]",525486,3368,5
