City,State,Population,ViolentCrime
Grass Valley,CA,12792,115
Greenfield,CA,16922,89
Gridley,CA,6563,72
Grover Beach,CA,13398,39
Guadalupe,CA,7205,10
Gustine,CA,5655,39
Hanford,CA,54425,299
Hawaiian Gardens,CA,14437,56
Hawthorne,CA,86132,580
Hayward,CA,150955,589
Healdsburg,CA,11483,25
Hemet,CA,81698,447
Hercules,CA,24831,22
Hermosa Beach,CA,19858,27
Hesperia,CA,92621,371
Hidden Hills,CA,1905,2
Highland,CA,54462,191
Hillsborough,CA,11245,0
Hollister,CA,36414,195
Holtville,CA,6022,12
Hughson,CA,6898,7
Huntington Beach,CA,195842,362
Huntington Park,CA,58852,359
Huron,CA,6812,71
Imperial,CA,15943,7
Imperial Beach,CA,26998,133
Indian Wells,CA,5174,7
Indio,CA,80243,468
Industry,CA,223,51
Inglewood,CA,111672,739
Ione,CA,7160,6
Irvine,CA,235830,113
Irwindale,CA,1440,20
Isleton,CA,817,9
Jackson,CA,4549,23
Jurupa Valley,CA,98090,267
Kensington,CA,5230,5
Kerman,CA,14543,45
King City,CA,13260,68
Kingsburg,CA,11651,23
La Canada Flintridge,CA,20572,12
Lafayette,CA,24829,21
Laguna Beach,CA,23313,41
Laguna Hills,CA,31134,53
Laguna Niguel,CA,64894,57
Laguna Woods,CA,16584,5
La Habra,CA,61740,88
La Habra Heights,CA,5437,3
Lake Elsinore,CA,56232,103
Lake Forest,CA,79336,105
Lakeport,CA,4674,14
Lake Shastina,CA,2482,2
Lakewood,CA,81086,225
La Mesa,CA,58482,181
La Mirada,CA,49150,72
Lancaster,CA,159792,832
La Palma,CA,15950,10
La Puente,CA,40415,143
La Quinta,CA,39150,68
La Verne,CA,31439,37
Lawndale,CA,33234,162
Lemon Grove,CA,26156,145
Lemoore,CA,24802,111
Lincoln,CA,44831,25
Lindsay,CA,13208,40
Livermore,CA,84350,270
Livingston,CA,13683,33
Lodi,CA,63639,287
Loma Linda,CA,23701,61
Lomita,CA,20622,66
Lompoc,CA,43581,188
Long Beach,CA,469665,2346
Los Alamitos,CA,11735,24
Los Altos,CA,30225,23
Los Altos Hills,CA,8300,2
Los Angeles,CA,3878725,16524
Los Banos,CA,36965,109
Los Gatos,CA,30351,25
Lynwood,CA,71077,436
Madera,CA,62973,568
Malibu,CA,12891,28
Mammoth Lakes,CA,8258,18
Manhattan Beach,CA,35930,64
Manteca,CA,72261,212
Marina,CA,20426,50
Martinez,CA,36910,53
Marysville,CA,12168,87
Maywood,CA,27744,112
McFarland,CA,12288,65
Mendota,CA,11472,38
Menifee,CA,82634,99
Menlo Park,CA,33146,53
Merced,CA,81329,556
Mill Valley,CA,14239,11
Milpitas,CA,69522,93
Mission Viejo,CA,95895,62
Modesto,CA,204252,1704
Monrovia,CA,37071,57
Montague,CA,1411,2
Montclair,CA,37785,187
Montebello,CA,63566,183
Monterey,CA,29338,120
Monterey Park,CA,61152,104
Monte Sereno,CA,3491,1
Moorpark,CA,35264,37
Moraga,CA,16664,11
Moreno Valley,CA,201284,638
Morgan Hill,CA,39907,63
Morro Bay,CA,10412,31
Mountain View,CA,77399,157
Mount Shasta,CA,3309,5
Murrieta,CA,107768,70
Napa,CA,78761,255
National City,CA,59637,314
Needles,CA,4932,15
Nevada City,CA,3039,26
Newark,CA,43950,123
Newman,CA,10691,36
Newport Beach,CA,87639,73
Norco,CA,27497,42
Norwalk,CA,106518,407
Novato,CA,53735,107
Oakdale,CA,21340,50
Oakland,CA,403887,7984
Oakley,CA,37824,70
Oceanside,CA,172525,634
Ojai,CA,7585,14
Ontario,CA,168144,453
Orange,CA,140304,147
Orange Cove,CA,9750,212
Orinda,CA,18520,10
Orland,CA,7420,27
Oroville,CA,15581,78
Oxnard,CA,202594,651
Pacifica,CA,38494,66
Pacific Grove,CA,15518,22
Palmdale,CA,156522,759
Palm Desert,CA,50456,110
Palm Springs,CA,46282,255
Palo Alto,CA,66964,54
Palos Verdes Estates,CA,13658,6
Paradise,CA,26222,68
Paramount,CA,54868,222
Parlier,CA,14856,91
