,City,State,Location,Population,ViolentCrime,PoliceViolence,R
New Haven Police Department,New Haven,CT,"[41.3082138, -72.9250517]",131071,1643,0,-0.047541321640467649
New Orleans Police Department,New Orleans,LA,"[29.9499323, -90.0701155]",377022,2965,0,-0.015751407389131611
New York Police Department,New York,NY,"[40.7305991, -73.9865811]",8396126,52384,21,
Newark Police Department,Newark,NJ,"[40.735657, -74.1723666]",278246,3516,1,-0.055164529460266287
Newport News Police Department,Newport News,VA,"[37.016827, -76.4505195]",181074,795,0,-0.081564803647842243
Norfolk Police Department,Norfolk,VA,"[36.8889933, -76.2481623]",247303,1418,1,-0.085065960212506564
Norman Police Department,Norman,OK,"[35.2225717, -97.4394815]",116970,178,0,-0.034425750186971804
North Charleston Police Department,North Charleston,SC,"[32.8546197, -79.9748102]",103324,693,0,-0.15362495184801506
North Las Vegas Police Department,North Las Vegas,NV,"[36.2008371, -115.1120957]",225632,1806,0,-0.1086478174243064
Oakland Police Department,Oakland,CA,"[37.8044557, -122.2713562]",403887,7984,2,-0.027650271157887211
Oceanside Police Department,Oceanside,CA,"[33.1958696, -117.3794833]",172525,634,0,-0.079099088458999711
Oklahoma Police Department,Oklahoma,OK,,605034,4998,0,
Olathe Police Department,Olathe,KS,"[38.8843867, -94.8161126]",131342,185,1,-0.039870538334664363
Omaha Police Department,Omaha,NE,"[41.2587317, -95.9378731]",425076,2449,3,-0.041653569941417112
Ontario Police Department,Ontario,CA,"[34.065846, -117.6484303]",168144,453,0,-0.17292469814336764
Orlando Police Department,Orlando,FL,"[28.5421175, -81.3790461]",253238,2316,5,-0.04799605773820504
Overland Park Police Department,Overland Park,KS,"[38.9822282, -94.6707916]",180555,284,0,-0.03034870066272655
Palm Bay Police Department,Palm Bay,FL,"[28.0331886, -80.6429694]",104391,451,0,-0.027991652247832288
Pasadena Police Department,Pasadena,CA,"[34.1476452, -118.1444778]",139003,434,0,-0.024132776269674583
Paterson Police Department,Paterson,NJ,"[40.9167654, -74.1718109]",145082,1555,0,-0.16108368465658218
Pearland Police Department,Pearland,TX,"[29.5639758, -95.2864298]",98183,152,1,-0.092886337348285331
Pembroke Pines Police Department,Pembroke Pines,FL,"[26.02322025, -80.3412389662561]",162064,275,1,-0.14579459741793288
Peoria Police Department,Peoria,AZ,"[33.5766205, -112.2398261]",161641,254,0,-0.016755395568110787
